,Unnamed: 0,DBuid/IDidu, DBpop2016/IDpop2016, DBtdwell2016/IDtlog2016, DBurdwell2016/IDrh2016, DBarea2016/IDsup2016, DBir2016/IDri2016, DAuid/ADidu, DArplamx/ADlamx, DArplamy/ADlamy, DArplat/Adlat, DArplong/ADlong, PRuid/PRidu, PRname/PRnom, PRename/PRanom, PRfname/PRfnom, PReabbr/PRaabbrev, PRfabbr/PRfabbrev, FEDuid/CEFidu, FEDname/CEFnom, ERuid/REidu, ERname/REnom, CDuid/DRidu, CDname/DRnom, CDtype/DRgenre, ADAuid/ADAidu, ADAcode, CSDuid/SDRidu, CSDname/SDRnom, CSDtype/SDRgenre, SACtype/CSSgenre, SACcode/CSScode, CCSuid/SRUidu, CCSname/SRUnom, DPLuid/LDidu, DPLname/LDnom, DPLtype/LDgenre, CMAPuid/RMRPidu, CMAuid/RMRidu, CMAname/RMRnom, CMAtype/RMRgenre, CTuid/SRidu, CTcode/SRcode, CTname/SRnom, POPCTRRAPuid/CTRPOPRRPidu, POPCTRRAuid/CTRPOPRRidu, POPCTRRAname/CTRPOPRRnom, POPCTRRAtype/CTRPOPRRgenre, POPCTRRAclass/CTRPOPRRclasse,hasCloseStop
4082,480735,59153146033,5.0,1.0,1.0,0.0147,F,59153146,4018819.78027436,2005564.10020479,49.268566,-123.10937,59,British Columbia / Colombie-Britannique,British Columbia,Colombie-Britannique,B.C.,C.-B.,59036,Vancouver Granville,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,5915,Greater Vancouver,RD,59150058,58,5915022,Vancouver,CY,1,933,5915022,Vancouver,,,,59933,933,Vancouver,B,9330049.01,3874,49.01,590973,973,Vancouver,1,4,1
4084,480747,59154001014,137.0,164.0,84.0,0.0213,F,59154001,4019408.97795795,2006595.32202955,49.279252,-123.10891399999998,59,British Columbia / Colombie-Britannique,British Columbia,Colombie-Britannique,B.C.,C.-B.,59034,Vancouver Centre / Vancouver-Centre,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,5915,Greater Vancouver,RD,59150048,48,5915022,Vancouver,CY,1,933,5915022,Vancouver,,,,59933,933,Vancouver,B,9330059.13,1294,59.13,590973,973,Vancouver,1,4,1
4087,480778,59153207003,175.0,129.0,128.0,0.0142,F,59153207,4023207.92578339,2005835.26677044,49.289335,-123.057882,59,British Columbia / Colombie-Britannique,British Columbia,Colombie-Britannique,B.C.,C.-B.,59035,Vancouver East / Vancouver-Est,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,5915,Greater Vancouver,RD,59150051,51,5915022,Vancouver,CY,1,933,5915022,Vancouver,,,,59933,933,Vancouver,B,9330055.02,4275,55.02,590973,973,Vancouver,1,4,1
4089,480832,59153400003,190.0,118.0,111.0,0.0067,F,59153400,4017673.07362262,2007669.31886004,49.280402,-123.136944,59,British Columbia / Colombie-Britannique,British Columbia,Colombie-Britannique,B.C.,C.-B.,59034,Vancouver Centre / Vancouver-Centre,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,5915,Greater Vancouver,RD,59150042,42,5915022,Vancouver,CY,1,933,5915022,Vancouver,,,,59933,933,Vancouver,B,9330060.01,5297,60.01,590973,973,Vancouver,1,4,1
4092,480857,59150337003,68.0,29.0,28.0,0.0147,F,59150337,4022499.71447212,2003996.59627892,49.27173300000001,-123.05456399999998,59,British Columbia / Colombie-Britannique,British Columbia,Colombie-Britannique,B.C.,C.-B.,59035,Vancouver East / Vancouver-Est,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,5915,Greater Vancouver,RD,59150069,69,5915022,Vancouver,CY,1,933,5915022,Vancouver,,,,59933,933,Vancouver,B,9330054.02,5288,54.02,590973,973,Vancouver,1,4,1
4093,480858,59151449002,138.0,57.0,50.0,0.0192,F,59151449,4021838.22378131,2001493.29482258,49.249052,-123.04638,59,British Columbia / Colombie-Britannique,British Columbia,Colombie-Britannique,B.C.,C.-B.,59038,Vancouver Kingsway,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,5915,Greater Vancouver,RD,59150100,100,5915022,Vancouver,CY,1,933,5915022,Vancouver,,,,59933,933,Vancouver,B,9330035.01,4898,35.01,590973,973,Vancouver,1,4,1
4094,480859,59153146009,273.0,156.0,151.0,0.0149,F,59153146,4018819.78027436,2005564.10020479,49.268566,-123.10937,59,British Columbia / Colombie-Britannique,British Columbia,Colombie-Britannique,B.C.,C.-B.,59034,Vancouver Centre / Vancouver-Centre,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,5915,Greater Vancouver,RD,59150058,58,5915022,Vancouver,CY,1,933,5915022,Vancouver,,,,59933,933,Vancouver,B,9330049.01,3874,49.01,590973,973,Vancouver,1,4,1
4095,480861,59150460002,184.0,71.0,67.0,0.0209,F,59150460,4017986.55117812,1999120.99571076,49.213891,-123.077716,59,British Columbia / Colombie-Britannique,British Columbia,Colombie-Britannique,B.C.,C.-B.,59040,Vancouver South / Vancouver-Sud,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,5915,Greater Vancouver,RD,59150122,122,5915022,Vancouver,CY,1,933,5915022,Vancouver,,,,59933,933,Vancouver,B,9330003.02,5268,3.02,590973,973,Vancouver,1,4,1
4097,480900,59151429005,76.0,35.0,32.0,0.0129,F,59151429,4021772.41677296,2003725.23717886,49.266495,-123.061631,59,British Columbia / Colombie-Britannique,British Columbia,Colombie-Britannique,B.C.,C.-B.,59035,Vancouver East / Vancouver-Est,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,5915,Greater Vancouver,RD,59150077,77,5915022,Vancouver,CY,1,933,5915022,Vancouver,,,,59933,933,Vancouver,B,9330051.01,2457,51.01,590973,973,Vancouver,1,4,1
4100,480917,59150343001,95.0,58.0,51.0,0.0142,F,59150343,4022067.10224289,2004680.75461504,49.275331,-123.064247,59,British Columbia / Colombie-Britannique,British Columbia,Colombie-Britannique,B.C.,C.-B.,59035,Vancouver East / Vancouver-Est,5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,5915,Greater Vancouver,RD,59150069,69,5915022,Vancouver,CY,1,933,5915022,Vancouver,,,,59933,933,Vancouver,B,9330054.01,5287,54.01,590973,973,Vancouver,1,4,1
